1	2	
2	2	
3	1	
4	3	
5	3	
6	3	
7	2	
8	2	
9	2	
10	1	
11	1	
12	3	
13	3	
14	1	
15	2	
16	2	
17	2	
18	1	
19	1	
20	2	
21	1	
22	1	
23	1	
24	3	
25	1	
26	3	
27	2	
28	2	
29	2	
30	3	
31	1	
32	2	
33	1	
34	1	
35	1	
36	1	
37	1	
38	2	
39	2	
40	2	
41	1	
42	2	
43	1	
44	1	
45	1	
46	1	
47	1	
48	2	
49	3	
50	3	
51	2	
52	2	
53	2	
54	3	
55	2	
56	2	
57	2	
58	3	
59	1	
60	1	
61	3	
62	3	
63	3	
64	1	
65	3	
66	2	
67	2	
68	2	
69	2	
70	2	
71	1	
72	1	
73	2	
74	2	
75	3	
76	3	
77	2	
78	3	
79	2	
80	1	
81	2	
82	1	
83	1	
84	3	
85	1	
86	3	
87	2	
88	2	
89	2	
90	2	
91	1	
92	3	
93	1	
94	2	
95	2	
96	1	
97	1	
98	2	
99	2	
100	1	
101	3	
102	1	
103	3	
104	2	
105	2	
106	1	
107	3	
108	3	
109	1	
110	2	
111	2	
112	2	
113	1	
114	2	
115	2	
116	2	
117	3	
118	3	
119	2	
120	2	
121	2	
122	3	
123	2	
124	1	
125	2	
126	1	
127	1	
128	1	
129	1	
130	3	
131	2	
132	2	
133	3	
134	1	
135	1	
136	1	
137	3	
138	1	
139	1	
140	1	
141	3	
142	3	
143	2	
144	2	
145	1	
146	1	
147	1	
148	2	
149	1	
150	1	
151	1	
152	1	
153	1	
154	2	
155	1	
156	3	
157	1	
158	3	
159	3	
160	2	
161	1	
162	3	
163	1	
164	1	
165	2	
166	3	
167	3	
168	3	
169	3	
170	3	
